time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
2014022,1.5,0.000156496884301,0.190915375947952
2014022,2.5,5.46222800039686E-05,0.190915375947952
2014022,3.5,3.19417813443579E-05,0.190915375947952
2014022,4.5,5.15472274855711E-05,0.190915375947952
2014022,5.5,4.49743602075614E-05,0.190915375947952
2014022,6.5,5.10877871420234E-05,0.190915375947952
2014022,7.5,8.8040906121023E-05,0.190915375947952
2014022,8.5,7.66829616622999E-05,0.190915375947952
2014022,9.5,6.01743995503057E-05,0.190915375947952
2014022,10.5,4.23124038206879E-05,0.190915375947952
2014022,11.5,2.79695668723434E-05,0.190915375947952
2014022,12.5,1.63191543833818E-05,0.190915375947952
2014022,13.5,1.68767965078587E-05,0.190915375947952
2014022,14.5,3.46034212270752E-05,0.190915375947952
2014022,15.5,3.62178616342135E-05,0.190915375947952
2014022,16.5,7.57510351832025E-05,0.190915375947952
2014022,17.5,0.00038396337186,0.190915375947952
2014022,18.5,0.000231892801821,0.190915375947952
2014022,19.5,0.000203344825422,0.190915375947952
2014022,20.5,0.000154348555952,0.190915375947952
2014022,21.5,0.000133793582791,0.190915375947952
2014022,22.5,0.000130006083054,0.190915375947952
2014022,23.5,7.47568847145885E-05,0.190915375947952
2014022,24.5,9.57897354965098E-05,0.190915375947952
2014022,25.5,0.000154311477672,0.190915375947952
2014022,26.5,6.06195171712898E-05,0.190915375947952
2014022,27.5,5.0963535613846E-05,0.527706801891327
2014022,28.5,7.54837310523726E-05,0.469247907400131
2014022,29.5,5.09534547745716E-05,0.378249973058701
2014022,30.5,0.000595246267039,0.41160774230957
2014022,31.5,6.48912900942378E-05,0.255817174911499
2014022,32.5,2.52958034252515E-05,0.197949409484863
2014022,33.5,6.77928619552404E-05,0.139367461204529
2014022,34.5,7.35446810722351E-05,0.094908766448498
2014022,35.5,7.1711911004968E-05,0.095986038446426
2014022,36.5,0.000112959765829,0.098220780491829
2014022,37.5,2.59597618423868E-05,0.111204214394093
2014022,38.5,1.22680603453773E-05,0.096153788268566
2014022,39.5,8.12054167909082E-06,0.095804519951344
2014022,40.5,1.03519050753675E-05,0.095370903611183
2014022,41.5,1.08623189589707E-05,0.094957388937473
2014022,42.5,7.21511605661362E-06,0.098292954266071
2014022,43.5,1.42476374094258E-05,0.096586801111698
2014022,44.5,9.42997303354787E-06,0.096374645829201
2014022,45.5,8.87094665813493E-06,0.105822369456291
2014022,46.5,2.14132996916305E-05,0.121550858020782
2014022,47.5,1.08528811324504E-05,0.101502627134323
2014022,48.5,1.69953000295209E-05,0.095472268760204
2014022,49.5,2.79041305475403E-05,0.142923027276993
2014022,50.5,2.65937887888867E-05,0.143645718693733
2014022,51.5,1.12583711597836E-05,0.115631066262722
2014022,52.5,1.30538101075217E-05,0.134811043739319
2014022,53.5,1.01827827165835E-05,0.130940705537796
2014022,54.5,6.77552543493221E-06,0.112694583833218
2014022,55.5,3.22926352964714E-05,0.147274553775787
2014022,56.5,8.55184225656558E-06,0.113331705331802
2014022,57.5,7.71422674006317E-06,0.116388104856014
2014022,58.5,6.42053637420759E-05,0.185141280293465
2014022,59.5,9.86195937002776E-06,0.122820809483528
2014022,60.5,2.67204704869073E-05,0.202200457453728
2014022,61.5,2.1799221940455E-05,0.214095219969749
2014022,62.5,4.71781931992155E-05,0.203477591276169
2014022,63.5,3.76855823560618E-05,0.25198957324028
2014022,64.5,5.50007689525955E-06,0.113717578351498
2014022,65.5,4.89124977320898E-06,0.109511137008667
2014022,66.5,5.50347112948657E-06,0.102498523890972
2014022,67.5,4.48356968263397E-06,0.104808986186981
2014022,68.5,8.47538558446104E-06,0.113856211304665
2014022,69.5,6.93658284944831E-06,0.100958161056042
2014022,70.5,1.37709648697637E-05,0.13772277534008
2014022,71.5,5.67555343877757E-06,0.106869384646416
2014022,72.5,6.08012760494603E-06,0.104791678488255
2014022,73.5,3.80725623472244E-06,0.117500096559525
2014022,74.5,5.47946092410712E-06,0.116101697087288
2014022,75.5,7.44285625842167E-06,0.141789138317108
2014022,76.5,1.79263824975351E-05,0.147672295570374
2014022,77.5,1.68871738424059E-05,0.155825108289719
2014022,78.5,2.38055272347992E-05,0.185287088155746
2014022,79.5,1.66857644217089E-05,0.184940367937088
2014022,80.5,1.35792233777465E-05,0.121884152293205
2014022,81.5,1.48427734529832E-05,0.134577572345734
2014022,82.5,1.82742114702705E-05,0.138742879033089
2014022,83.5,3.94455964851659E-05,0.171925872564316
2014022,84.5,2.54343613050878E-05,0.151395738124847
2014022,85.5,3.00556712318212E-05,0.132267266511917
2014022,86.5,3.54583426087629E-05,0.141814276576042
2014022,87.5,4.39498762716539E-05,0.127171784639359
2014022,88.5,5.13939412485343E-05,0.125902518630028
2014022,89.5,5.77005375816952E-05,0.142840132117271
2014022,90.5,6.9558467657771E-05,0.131488591432571
2014022,91.5,5.90506897424348E-05,0.142692416906357
2014022,92.5,2.12272425414994E-05,0.153324544429779
2014022,93.5,2.16227963392157E-05,0.130731418728828
2014022,94.5,1.62278884090483E-05,0.166255503892899
2014022,95.5,1.30533344417927E-05,0.167231842875481
2014022,96.5,9.63639831752516E-06,0.133809760212898
2014022,97.5,0.000154399167513,0.201624274253845
2014022,98.5,1.97637455130462E-05,0.16198992729187
2014022,99.5,2.94238943752134E-05,0.162862718105316
2014022,100.5,1.45466374306125E-05,0.134101361036301
2014022,101.5,1.70053644978907E-05,0.137125566601753
2014022,102.5,0.000141790165799,0.265443176031113
2014022,103.5,0.0001266948384,0.196253418922424
2014022,104.5,2.25594012590591E-05,0.159503534436226
2014022,105.5,1.9199385860702E-05,0.108727052807808
2014022,106.5,2.03183008125052E-05,0.107451424002647
2014022,107.5,2.26411884796107E-05,0.13222761452198
2014022,108.5,3.66198401025031E-05,0.157377794384956
2014022,109.5,2.57000210694969E-05,0.12400621175766
2014022,110.5,2.97821043204749E-05,0.142711043357849
2014022,111.5,2.74650956271216E-05,0.121554002165794
2014022,112.5,2.84469770122087E-05,0.094855651259422
2014022,113.5,1.99776277440833E-05,0.097616977989674
2014022,114.5,2.27385426114779E-05,0.300000011920929
2014022,115.5,2.54994556598831E-05,0.065916374325752
2014022,116.5,2.807161945384E-05,0.042143721133471
2014022,117.5,0.000102148929727,0.045544542372227
2014022,118.5,3.80986639356706E-05,0.034285511821509
2014022,119.5,6.89570224494673E-05,0.036621686071158
2014022,120.5,0.000217051405343,0.058862157166004
2014022,121.5,0.008812992833555,0.146278887987137
2014022,122.5,8.11608042567968E-05,0.034305438399315
2014022,123.5,5.2425453759497E-05,0.041196025907993
2014022,124.5,3.85013736377004E-05,0.038664303719998
2014022,125.5,3.5036191547988E-05,0.034763611853123
2014022,126.5,4.92964973091148E-05,0.048827633261681
2014022,127.5,2.49261101998854E-05,0.036143876612187
2014022,128.5,1.94939857465215E-05,0.037554044276476
2014022,129.5,2.81255452136975E-05,0.13494798541069
2014022,130.5,0.000182568051969,0.112912625074387
2014022,131.5,2.91331634798553E-05,0.126669436693192
2014022,132.5,2.33704231504817E-05,0.154682874679565
2014022,133.5,0.000245306000579,0.150706127285957
2014022,134.5,2.23183014895767E-05,0.160132020711899
2014022,135.5,4.87427932966966E-05,0.118004277348518
2014022,136.5,3.00016690744087E-05,0.113518074154854
2014022,137.5,3.36015946231782E-05,0.120729714632034
2014022,138.5,3.17086742143147E-05,0.131711885333061
2014022,139.5,9.63764250627719E-05,0.118315309286118
2014022,140.5,7.95673113316297E-05,0.117192938923836
2014022,141.5,4.38562092313077E-05,0.121216729283333
2014022,142.5,4.95679087180179E-05,0.116610422730446
2014022,143.5,5.33342245034874E-05,0.115385681390762
2014022,144.5,5.49334326933604E-05,0.108307674527168
2014022,145.5,5.98155784246046E-05,0.1095040589571
2014022,146.5,7.10942258592695E-05,0.108330309391022
2014022,147.5,8.76114427228458E-05,0.103444442152977
2014022,148.5,8.88309150468558E-05,0.10429010540247
2014022,149.5,7.97464308561757E-05,0.10706951469183
2014022,150.5,9.0764558990486E-05,0.1054802313447
2014022,151.5,0.000100960503914,0.102207019925118
2014022,152.5,0.000124322497868,0.101917415857315
2014022,153.5,0.00013603210391,0.102783225476742
2014022,154.5,0.000239550165134,0.111484967172146
2014022,155.5,0.000203180985409,0.106101639568806
2014022,156.5,0.000198798952624,0.102598279714584
2014022,157.5,0.000180105067557,0.102862432599068
2014022,158.5,0.000173193519004,0.101624719798565
2014022,159.5,0.000170739644091,0.100712932646275
2014022,160.5,0.000192440478713,0.102307915687561
2014022,161.5,0.000229516925174,0.102878913283348
2014022,162.5,0.000259272230323,0.099376253783703
2014022,163.5,0.00027604890056,0.101226784288883
2014022,164.5,0.000329099217197,0.101586677134037
2014022,165.5,0.000518264132552,0.102366581559181
2014022,166.5,0.000355521275196,0.100157007575035
2014022,167.5,0.00041819101898,0.099616914987564
2014022,168.5,0.000448659993708,0.098780177533627
2014022,169.5,0.000583833374549,0.097545340657234
2014022,170.5,0.000681591511238,0.098567932844162
2014022,171.5,0.000682077486999,0.101087138056755
2014022,172.5,0.000757835397962,0.101716868579388
2014022,173.5,0.000765020959079,0.101312451064587
2014022,174.5,0.000936083961278,0.101878523826599
2014022,175.5,0.00116289628204,0.103315770626068
2014022,176.5,0.001241348101757,0.099104329943657
2014022,177.5,0.001539170974866,0.099887408316135
2014022,178.5,0.00170195417013,0.104021929204464
2014022,179.5,0.001746164052747,0.102559350430965
2014022,180.5,0.002292135963216,0.106012172996998
2014022,181.5,0.002603356260806,0.11385103315115
2014022,182.5,0.002555215498433,0.11092983186245
2014022,183.5,0.002697347430512,0.10613052546978
2014022,184.5,0.002365366788581,0.106536865234375
2014022,185.5,0.002682492602617,0.106346137821674
2014022,186.5,0.00312037486583,0.105598397552967
2014022,187.5,0.003478253958747,0.106614232063293
2014022,188.5,0.00341791799292,0.113271407783031
2014022,189.5,0.002636749763042,0.122889161109924
2014022,190.5,-1,100
2014022,191.5,-1,100
2014022,192.5,-1,100
2014022,193.5,-1,100
2014022,194.5,-1,100
