index	alt	CO	O	CO2	O2
0	100.0	4211143058.17	4211143058.17	744123587984.6016	650084431.03
1	100.1	4211143058.17	4211143058.17	744507611435.7426	650084431.03
2	100.2	4211143058.17	4211143058.17	744891634886.8835	650084431.03
3	100.29999999999998	4211143058.17	4211143058.17	745275658338.0245	650084431.03
4	100.39999999999998	4211143058.17	4211143058.17	745659681789.1654	650084431.03
5	100.49999999999996	4211143058.17	4211143058.17	746043705240.3064	650084431.03
6	100.59999999999997	4211143058.17	4211143058.17	746427728691.4474	650084431.03
7	100.69999999999996	4211143058.17	4211143058.17	746811752142.5884	650084431.03
8	100.79999999999997	4211143058.17	4211143058.17	747195775593.7294	650084431.03
9	100.89999999999996	4211143058.17	4211143058.17	747579799044.8704	650084431.03
10	100.99999999999994	4211143058.17	4211143058.17	747963822496.0112	650084431.03
11	101.09999999999994	4211143058.17	4211143058.17	748347845947.1522	650084431.03
12	101.19999999999992	4211143058.17	4211143058.17	748731869398.2932	650084431.03
13	101.22	4211143058.17	4211143058.17	749115892849.4342	650084431.03
14	101.29999999999993	4095505932.61125	4095505932.61125	749499916300.5752	650084431.03
15	101.39999999999992	3979868807.0525	3979868807.0525	749883939751.7162	650084431.03
16	101.49999999999993	3864231681.49375	3864231681.49375	750267963202.857	650084431.03
17	101.59999999999992	3748594555.935	3748594555.935	750651986653.998	650084431.03
18	101.6999999999999	3632957430.37625	3632957430.37625	751036010105.139	650084431.03
19	101.7	3575138867.596875	3575138867.596875	751420033556.28	650084431.03
20	101.7999999999999	3517320304.8175	3517320304.8175	744123587984.6016	650084431.03
21	101.89999999999986	3401683179.25875	3401683179.25875	736827142412.9232	650084431.03
22	101.95	3286046053.7	3286046053.7	729530696841.2448	650084431.03
23	101.99999999999987	3260312980.8874283	3260312980.8874283	722234251269.5663	650084431.03
24	102.09999999999987	3234579908.074857	3234579908.074857	714937805697.888	650084431.03
25	102.19999999999986	3208846835.2622857	3208846835.2622857	707641360126.2095	650084431.03
26	102.29999999999987	3183113762.449714	3183113762.449714	700344914554.5311	650084431.03
27	102.39999999999986	3157380689.637143	3157380689.637143	693048468982.8527	650084431.03
28	102.49999999999987	3131647616.824571	3131647616.824571	685752023411.1742	650084431.03
29	102.59999999999985	3105914544.012	3105914544.012	678455577839.4958	650084431.03
30	102.69999999999985	3080181471.199429	3080181471.199429	671159132267.8174	650084431.03
31	102.79999999999984	3054448398.386857	3054448398.386857	663862686696.1389	650084431.03
32	102.89999999999985	3028715325.574285	3028715325.574285	656566241124.4606	650084431.03
33	102.99999999999984	3002982252.761714	3002982252.761714	649269795552.7821	650084431.03
34	103.09999999999981	2977249179.949143	2977249179.949143	641973349981.1038	650084431.03
35	103.1999999999998	2951516107.1365714	2951516107.1365714	634676904409.4253	650084431.03
36	103.29999999999978	2925783034.3240004	2925783034.3240004	627380458837.7468	650084431.03
37	103.39999999999979	2900049961.5114284	2900049961.5114284	620084013266.0685	650084431.03
38	103.48	2887183425.1051426	2887183425.1051426	612787567694.39	650084431.03
39	103.49999999999979	2874316888.698857	2874316888.698857	607696781785.3909	650084431.03
40	103.5999999999998	2848583815.886286	2848583815.886286	602605995876.3918	650084431.03
41	103.69999999999979	2822850743.0737143	2822850743.0737143	597515209967.3927	650084431.03
42	103.79999999999978	2797117670.2611427	2797117670.2611427	592424424058.3937	650084431.03
43	103.89999999999979	2771384597.448571	2771384597.448571	587333638149.3945	650084431.03
44	103.99999999999977	2745651524.636	2745651524.636	582242852240.3955	650084431.03
45	104.09999999999977	2719918451.823429	2719918451.823429	577152066331.3964	650084431.03
46	104.11	2707051915.417143	2707051915.417143	574606673376.8967	650084431.03
47	104.19999999999978	2694185379.010857	2694185379.010857	572061280422.3972	643601672.5672728
48	104.29999999999977	2668452306.198286	2668452306.198286	566970494513.3982	637118914.1045455
49	104.39999999999976	2642719233.3857145	2642719233.3857145	561879708604.3989	630636155.6418183
50	104.49999999999973	2616986160.573143	2616986160.573143	556788922695.4	624153397.179091
51	104.59999999999974	2591253087.7605715	2591253087.7605715	551698136786.4009	617670638.7163638
52	104.69999999999972	2565520014.948	2565520014.948	546607350877.4018	611187880.2536364
53	104.79999999999971	2539786942.1354284	2539786942.1354284	541516564968.4027	604705121.7909089
54	104.89999999999971	2514053869.322857	2514053869.322857	536425779059.4036	598222363.3281819
55	104.99999999999972	2488320796.510286	2488320796.510286	531334993150.4045	591739604.8654546
56	105.09999999999971	2462587723.6977143	2462587723.6977143	526244207241.4055	585256846.4027272
57	105.19999999999969	2436854650.8851433	2436854650.8851433	521153421332.4064	578774087.94
58	105.2999999999997	2411121578.0725718	2411121578.0725718	516062635423.4072	572291329.4772727
59	105.33	2385388505.26	2385388505.26	510971849514.4082	565808571.0145454
60	105.3999999999997	2362834447.9393106	2362834447.9393106	505881063605.409	559325812.5518181
61	105.4999999999997	2340280390.618621	2340280390.618621	500790277696.41	552843054.0890911
62	105.5999999999997	2317726333.2979307	2317726333.2979307	495699491787.4109	546360295.6263636
63	105.69999999999969	2295172275.977241	2295172275.977241	490608705878.4118	539877537.1636363
64	105.7999999999997	2272618218.656552	2272618218.656552	485517919969.4127	533394778.70090914
65	105.89999999999965	2250064161.335862	2250064161.335862	480427134060.4136	526912020.2381818
66	105.99999999999966	2227510104.0151725	2227510104.0151725	475336348151.4146	520429261.7754546
67	106.09999999999964	2204956046.694483	2204956046.694483	470245562242.4154	513946503.3127273
68	106.17	2193679018.0341377	2193679018.0341377	467700169287.9159	507463744.85
69	106.19999999999963	2182401989.373793	2182401989.373793	465154776333.4164	502975109.20806456
70	106.29999999999964	2159847932.0531034	2159847932.0531034	460063990424.4173	498486473.566129
71	106.39999999999964	2137293874.732414	2137293874.732414	454973204515.4182	493997837.9241936
72	106.49999999999963	2114739817.4117246	2114739817.4117246	449882418606.4191	489509202.2822581
