alt	CO	O	CO2	N	N2	O2
100.0	116000000000.0	69000000000.0	733000000000000.0	3570.0	31000000000000.0	406230942210.0336
100.86937792042349	109670821661.06654	64990055725.260284	599651477134884.4	1691640.4184373769	25552173394377.477	518715248463.3627
101.96014211896109	102317555597.27446	60400360693.27218	459891122703593.7	2468418.7880514073	19817795025756.33	406230942210.0336
103.10736156596408	95241602965.52739	56064830194.28502	342522995709470.3	2092605.5747682329	14972316572262.729	318130049679.38275
104.01687470363892	90075902180.67082	52957618713.17514	268511679224161.06	1233879.526131265	11894272915895.719	249165633873.12665
104.96501511657956	85077283835.8878	50003735105.63024	206992782969723.97	87780.44068843662	9314043010025.602	195147584783.52136
105.0	84900000000.0	49900000000.0	205000000000000.0	44000.0	9230000000000.0	193351754626.94626
105.8418436367217	80779548998.26782	47510201819.594444	162413104532028.53	-970961.9944143738	7424267046095.398	152845883238.16852
106.75076250862317	76627544139.25414	45145695186.86583	126770690193260.77	-1834944.8172034277	5893123802321.094	119711900107.0413
107.6240254341254	72904200263.44502	43065296337.510216	100870074870021.2	-2224461.1929482035	4761639325132.0205	93762389293.42938
108.56860025242612	69142017101.40987	41003644766.922455	80034261851603.86	-1914553.195967326	3832554108935.776	73435233575.12991
109.1848432309671	66822109147.61253	39753042601.16518	69449936153787.08	-1180177.9458461385	3351609704858.3315	57524358331.96139
110.0	63900000000.0	38200000000.0	57900000000000.0	582000.0	2820000000000.0	47121338225.71605
110.28006442280464	62931519616.13275	37690581640.24182	54357632601625.89	1417058.9742339505	2656226555937.661	45050000243.8624
111.38388272202965	59278565470.07862	35794820220.876366	42026338214879.195	5392637.865562577	2084767534717.876	34242510073.74436
112.21178123357029	56700394429.40411	34484578273.38247	34353932001228.62	8352593.506730654	1727611363587.9966	25288398849.37163
112.84882351417755	54804017738.42267	33537717908.162582	29281849434821.914	10117048.615012392	1490394356368.1482	19809070896.80266
113.39613166301336	53231756404.58815	32764755959.888203	25453779850022.46	11004281.629443016	1310483328855.2578	15517666639.688547
114.39656746400621	50484205352.82211	31443260051.29037	19596729635669.66	10418153.992611902	1032914855123.8649	12153183914.395395
115.0	48900000000.0	30700000000.0	16700000000000.0	8250000.0	894000000000.0	10204616918.739992
115.20208409134987	48380912644.67663	30459667371.61329	15826102630160.658	7171784.504395423	851774022085.9153	9519105981.106043
115.92291784599534	46574023588.573074	29635242967.782707	13068084308562.14	2926155.7926848093	717219169243.6871	7456253964.88214
