time (yyyyDDD),wavelength (nm),irradiance (W/m^2/nm),uncertainty (W/m^2/nm)
2012014,1.5,1.4972646022215486E-4,0.19189457595348358
2012014,2.5,5.2431205403991044E-5,0.19189457595348358
2012014,3.5,3.0700226488988847E-5,0.19189457595348358
2012014,4.5,4.9443213356425986E-5,0.19189457595348358
2012014,5.5,4.3182844819966704E-5,0.19189457595348358
2012014,6.5,4.9104382924269885E-5,0.19189457595348358
2012014,7.5,8.230741514125839E-5,0.19189457595348358
2012014,8.5,7.185239519458264E-5,0.19189457595348358
2012014,9.5,5.6839176977518946E-5,0.19189457595348358
2012014,10.5,4.007111056125723E-5,0.19189457595348358
2012014,11.5,2.6630263164406642E-5,0.19189457595348358
2012014,12.5,1.5474724932573736E-5,0.19189457595348358
2012014,13.5,1.6080939531093463E-5,0.19189457595348358
2012014,14.5,3.284306876594201E-5,0.19189457595348358
2012014,15.5,3.390391793800518E-5,0.19189457595348358
2012014,16.5,7.203247514553368E-5,0.19189457595348358
2012014,17.5,3.6642549093812704E-4,0.19189457595348358
2012014,18.5,2.1992958500050008E-4,0.19189457595348358
2012014,19.5,1.9072875147685409E-4,0.19189457595348358
2012014,20.5,1.4338847540784627E-4,0.19189457595348358
2012014,21.5,1.2464201427064836E-4,0.19189457595348358
2012014,22.5,1.2308027362450957E-4,0.19189457595348358
2012014,23.5,7.104811811586842E-5,0.19189457595348358
2012014,24.5,9.06556670088321E-5,0.19189457595348358
2012014,25.5,1.4572113286703825E-4,0.19189457595348358
2012014,26.5,5.6525077525293455E-5,0.19189457595348358
2012014,27.5,4.8231078835669905E-5,0.5427814722061157
2012014,28.5,7.269822526723146E-5,0.4675309956073761
2012014,29.5,4.7582463594153523E-5,0.3669115900993347
2012014,30.5,5.409877048805356E-4,0.3940550982952118
2012014,31.5,5.8855115639744326E-5,0.2479684203863144
2012014,32.5,2.4166076400433667E-5,0.19328352808952332
2012014,33.5,6.37653938611038E-5,0.13757610321044922
2012014,34.5,6.77002826705575E-5,0.09068258851766586
2012014,35.5,6.644683890044689E-5,0.08931547403335571
2012014,36.5,1.0131751332664862E-4,0.08903641253709793
2012014,37.5,2.383374157943763E-5,0.1004226878285408
2012014,38.5,1.1201102097402327E-5,0.09266002476215363
2012014,39.5,7.350716714427108E-6,0.0930362120270729
2012014,40.5,9.387866157339886E-6,0.09202030301094055
2012014,41.5,1.0382681466580834E-5,0.09176775813102722
2012014,42.5,6.556782864208799E-6,0.09485599398612976
2012014,43.5,1.1848585018015001E-5,0.09306754171848297
2012014,44.5,8.518914910382591E-6,0.09277908504009247
2012014,45.5,8.327695468324237E-6,0.09807251393795013
2012014,46.5,1.9311470168759115E-5,0.10455363988876343
2012014,47.5,1.0110569746757392E-5,0.09199820458889008
2012014,48.5,1.559646989335306E-5,0.08507831394672394
2012014,49.5,2.5814573746174574E-5,0.11319060623645782
2012014,50.5,2.4892269721021876E-5,0.11102442443370819
2012014,51.5,1.0479709089850076E-5,0.0989975854754448
2012014,52.5,1.2277288078621496E-5,0.11306090652942657
2012014,53.5,9.592076821718365E-6,0.11622542142868042
2012014,54.5,6.304107046162244E-6,0.10158928483724594
2012014,55.5,2.955683521577157E-5,0.13242168724536896
2012014,56.5,7.583872502436861E-6,0.1014399528503418
2012014,57.5,7.148268196033314E-6,0.10299552977085114
2012014,58.5,6.111818220233545E-5,0.16877587139606476
2012014,59.5,9.319077435065992E-6,0.10813455283641815
2012014,60.5,2.4825878426781856E-5,0.18432900309562683
2012014,61.5,2.0191739167785272E-5,0.19068238139152527
2012014,62.5,4.345470733824186E-5,0.1912873089313507
2012014,63.5,3.4405973565299064E-5,0.23892739415168762
2012014,64.5,5.017657713324297E-6,0.10267771035432816
2012014,65.5,4.630888270185096E-6,0.10005486011505127
2012014,66.5,5.039749339630362E-6,0.0954177975654602
2012014,67.5,4.023160727228969E-6,0.09810855239629745
2012014,68.5,8.091673407761846E-6,0.10011378675699234
2012014,69.5,6.334757017611992E-6,0.08951904624700546
2012014,70.5,1.3466835298459046E-5,0.12129861116409302
2012014,71.5,5.4020229072193615E-6,0.09374399483203888
2012014,72.5,5.7121269492199644E-6,0.09107223153114319
2012014,73.5,3.562158326531062E-6,0.10303021967411041
2012014,74.5,5.077038622403052E-6,0.1017039343714714
2012014,75.5,6.963105079194065E-6,0.12464568763971329
2012014,76.5,1.704407623037696E-5,0.1355735957622528
2012014,77.5,1.538940705358982E-5,0.13516269624233246
2012014,78.5,2.3213007807498798E-5,0.16742950677871704
2012014,79.5,1.6116880942718126E-5,0.16679075360298157
2012014,80.5,1.2958180377609096E-5,0.10590891540050507
2012014,81.5,1.3976573427498806E-5,0.11890258640050888
2012014,82.5,1.6493893781444058E-5,0.12505708634853363
2012014,83.5,3.827082400675863E-5,0.15744100511074066
2012014,84.5,2.4486140318913385E-5,0.1358763575553894
2012014,85.5,2.9177734177210368E-5,0.12232455611228943
2012014,86.5,3.3153217373183E-5,0.1327424943447113
2012014,87.5,4.138887015869841E-5,0.12108134478330612
2012014,88.5,4.8548121412750334E-5,0.11974184215068817
2012014,89.5,5.690627222065814E-5,0.1362847536802292
2012014,90.5,6.840148125775158E-5,0.12519975006580353
2012014,91.5,5.729544864152558E-5,0.13324950635433197
2012014,92.5,1.9720435375347733E-5,0.13682040572166443
2012014,93.5,2.0618379494408146E-5,0.11404102295637131
2012014,94.5,1.5206840544124134E-5,0.1403932422399521
2012014,95.5,1.2017911103612278E-5,0.14428798854351044
2012014,96.5,8.753090696700383E-6,0.1153588816523552
2012014,97.5,1.5133467968553305E-4,0.1933276504278183
2012014,98.5,1.7666776329861023E-5,0.14468254148960114
2012014,99.5,2.5539684429531917E-5,0.14308251440525055
2012014,100.5,1.3285010936670005E-5,0.11052650213241577
2012014,101.5,1.5672445442760363E-5,0.11384689807891846
2012014,102.5,1.3896881137043238E-4,0.23293860256671906
2012014,103.5,1.158181912614964E-4,0.18062888085842133
